,Prompt,Answer
0,"Your current position: (0,0), you have to reach (0,1).",right
1,"Your current position: (0,2), you have to reach (2,3).",down
2,"Your current position: (1,2), you have to reach (2,3).",right
3,"Your current position: (1,3), you have to reach (2,3).",down
4,"Your current position: (0,3), you have to reach (3,1).",down
5,"Your current position: (1,3), you have to reach (3,1).",left
6,"Your current position: (1,2), you have to reach (3,1).",down
7,"Your current position: (2,2), you have to reach (3,1).",left
8,"Your current position: (2,1), you have to reach (3,1).",down
9,"Your current position: (2,3), you have to reach (3,3).",down
10,"Your current position: (3,0), you have to reach (2,2).",right
11,"Your current position: (3,1), you have to reach (2,2).",right
12,"Your current position: (3,2), you have to reach (2,2).",up
13,"Your current position: (1,0), you have to reach (3,0).",down
14,"Your current position: (2,0), you have to reach (3,0).",down
15,"Your current position: (2,0), you have to reach (1,2).",right
16,"Your current position: (2,1), you have to reach (1,2).",right
17,"Your current position: (2,2), you have to reach (1,2).",up
18,"Your current position: (3,3), you have to reach (1,2).",up
19,"Your current position: (2,3), you have to reach (1,2).",left
20,"Your current position: (2,2), you have to reach (1,2).",up
21,"Your current position: (1,2), you have to reach (2,3).",right
22,"Your current position: (1,3), you have to reach (2,3).",down
23,"Your current position: (0,3), you have to reach (1,1).",left
24,"Your current position: (0,2), you have to reach (1,1).",left
25,"Your current position: (0,1), you have to reach (1,1).",down
26,"Your current position: (1,2), you have to reach (3,2).",down
27,"Your current position: (2,2), you have to reach (3,2).",down
28,"Your current position: (1,1), you have to reach (2,2).",right
29,"Your current position: (1,2), you have to reach (2,2).",down
30,"Your current position: (1,2), you have to reach (3,0).",left
31,"Your current position: (1,1), you have to reach (3,0).",down
32,"Your current position: (2,1), you have to reach (3,0).",left
33,"Your current position: (2,0), you have to reach (3,0).",down
34,"Your current position: (0,3), you have to reach (0,1).",left
35,"Your current position: (0,2), you have to reach (0,1).",left
36,"Your current position: (3,0), you have to reach (3,2).",right
37,"Your current position: (3,1), you have to reach (3,2).",right
38,"Your current position: (3,3), you have to reach (2,2).",left
39,"Your current position: (3,2), you have to reach (2,2).",up
40,"Your current position: (0,1), you have to reach (0,2).",right
41,"Your current position: (0,0), you have to reach (2,2).",right
42,"Your current position: (0,1), you have to reach (2,2).",down
43,"Your current position: (1,1), you have to reach (2,2).",right
44,"Your current position: (1,2), you have to reach (2,2).",down
45,"Your current position: (2,2), you have to reach (1,2).",up
46,"Your current position: (2,3), you have to reach (1,0).",left
47,"Your current position: (2,2), you have to reach (1,0).",left
48,"Your current position: (2,1), you have to reach (1,0).",left
49,"Your current position: (2,0), you have to reach (1,0).",up
50,"Your current position: (3,1), you have to reach (2,2).",right
51,"Your current position: (3,2), you have to reach (2,2).",up
52,"Your current position: (0,1), you have to reach (3,3).",down
53,"Your current position: (1,1), you have to reach (3,3).",right
54,"Your current position: (1,2), you have to reach (3,3).",down
55,"Your current position: (2,2), you have to reach (3,3).",right
56,"Your current position: (2,3), you have to reach (3,3).",down
57,"Your current position: (1,3), you have to reach (2,1).",left
58,"Your current position: (1,2), you have to reach (2,1).",left
59,"Your current position: (1,1), you have to reach (2,1).",down
60,"Your current position: (3,1), you have to reach (2,2).",right
61,"Your current position: (3,2), you have to reach (2,2).",up
62,"Your current position: (0,0), you have to reach (1,0).",down
63,"Your current position: (2,2), you have to reach (1,1).",left
64,"Your current position: (2,1), you have to reach (1,1).",up
65,"Your current position: (3,2), you have to reach (2,0).",left
66,"Your current position: (3,1), you have to reach (2,0).",left
67,"Your current position: (3,0), you have to reach (2,0).",up
68,"Your current position: (2,1), you have to reach (0,0).",up
69,"Your current position: (1,1), you have to reach (0,0).",left
70,"Your current position: (1,0), you have to reach (0,0).",up
71,"Your current position: (1,1), you have to reach (2,0).",left
72,"Your current position: (1,0), you have to reach (2,0).",down
73,"Your current position: (0,3), you have to reach (2,2).",down
74,"Your current position: (1,3), you have to reach (2,2).",left
75,"Your current position: (1,2), you have to reach (2,2).",down
76,"Your current position: (1,2), you have to reach (2,3).",right
77,"Your current position: (1,3), you have to reach (2,3).",down
78,"Your current position: (3,3), you have to reach (0,1).",up
79,"Your current position: (2,3), you have to reach (0,1).",left
80,"Your current position: (2,2), you have to reach (0,1).",up
81,"Your current position: (1,2), you have to reach (0,1).",left
82,"Your current position: (1,1), you have to reach (0,1).",up
83,"Your current position: (0,1), you have to reach (0,2).",right
84,"Your current position: (2,0), you have to reach (0,0).",up
85,"Your current position: (1,0), you have to reach (0,0).",up
86,"Your current position: (2,3), you have to reach (1,1).",left
87,"Your current position: (2,2), you have to reach (1,1).",left
88,"Your current position: (2,1), you have to reach (1,1).",up
89,"Your current position: (3,2), you have to reach (2,0).",left
90,"Your current position: (3,1), you have to reach (2,0).",left
91,"Your current position: (3,0), you have to reach (2,0).",up
